Course Letter,Course Number,Avg_Responses,Avg_Enrolled,Avg_Q1,Avg_Q2,Avg_Q3,Avg_Q4,Avg_Q5,Avg_Q6,Avg_Q7,Avg_Q8,Avg_Q9,Avg_AllQs
ARTH,205,8,59,1.5,1.5,1.5,1.8,2.9,1.7,1.8,1.3,1.8,1.43333333333333
ARTH,302,8,41,1.3,1.1,1.2,1.3,3,1.2,1.1,1.1,1.1,1.04444444444444
ARTH,303,7,32,1.4,1.1,1.2,1.4,3,1.2,1.2,1.4,1.4,1.14444444444444
ARTH,305,8,23,1.1,1.2,1.1,1.2,3,1,1.1,1,1.1,0.977777777777778
ASIA,101,30.25,113,1.4625,1.4875,1.725,1.625,2.7375,1.6625,1.85,1.6625,1.8625,1.48194444444444
ASIA,111,25,96,1.575,1.45,1.675,1.9,2.7,1.45,1.775,1.625,1.9,1.48333333333333
ASIA,201,5.75,27.75,1.075,1.375,1.4,1.325,2.725,1.45,1.5,1.5,1.575,1.24444444444444
ASIA,203,2,14,1,1.5,1.5,1.5,3,1.5,1,1,1,1.11111111111111
ASIA,301,8.4,24.2,1.42,1.4,1.4,1.24,2.62,1.46,1.62,1.44,1.66,1.29333333333333
ASIA,304,4,13,1,1,1,1,3,1,1,1,1.3,0.922222222222222
BCOM,101,4,27,1.5,1.2,2,1.8,3,1,1.3,1.2,1.3,1.25555555555556
BILD,222,7,51.3333333333333,1.1,1.1,1.23333333333333,1.86666666666667,2.9,1.23333333333333,1.36666666666667,1.2,1.2,1.14444444444444
BILD,231,7.83333333333333,50.1666666666667,1.55,1.5,1.46666666666667,1.95,2.91666666666667,1.53333333333333,1.71666666666667,1.48333333333333,1.86666666666667,1.45185185185185
BILD,251,15.6666666666667,66.5,1.28333333333333,1.2,1.33333333333333,1.41666666666667,3.01666666666667,1.53333333333333,1.76666666666667,1.61666666666667,1.55,1.3
BILD,261,7.25,50.75,2.7,2.925,2.525,3.125,2.975,2.425,3.5,2.425,3.325,2.55
BILD,262,13.1428571428571,52.4285714285714,3.54285714285714,3.15714285714286,2.65714285714286,3.65714285714286,3,2.62857142857143,3.15714285714286,2.5,3.61428571428571,2.76825396825397
BILD,321,8.6,36.8,3.26,2.94,2.8,2.52,2.12,2.62,3.42,2.46,3.34,2.59555555555556
BILD,322,12,46.5,1.5625,1.475,1.55,1.925,2.9875,1.5625,2.0125,1.55,1.7125,1.48333333333333
BILD,361,15,51,2.8,3,1.9,2.9,3.1,2.1,1.8,1.7,2.9,2.12222222222222
BILD,362,9.83333333333333,48.8333333333333,1.48333333333333,1.3,1.46666666666667,2.23333333333333,2.98333333333333,1.48333333333333,1.71666666666667,1.4,1.4,1.38703703703704
BILD,364,12.5714285714286,62.5714285714286,1.6,1.57142857142857,1.48571428571429,1.81428571428571,2.95714285714286,1.55714285714286,2.2,1.4,1.88571428571429,1.5015873015873
BIOL,111,51.1666666666667,335.833333333333,1.45,1.36666666666667,1.58333333333333,2.33333333333333,2.93333333333333,1.61666666666667,1.88333333333333,1.61666666666667,1.85,1.52222222222222
BIOL,113,61.5,231.666666666667,1.3,1.36666666666667,1.35,1.88333333333333,2.96666666666667,1.38333333333333,1.46666666666667,1.5,1.48333333333333,1.3037037037037
BIOL,114,81.2,361.8,1.68,1.66,1.84,2.66,2.8,1.66,1.9,1.68,2.1,1.68666666666667
BIOL,132,16.4,88.6,1.42,1.42,1.5,1.86,2.92,1.5,1.38,1.26,1.46,1.31111111111111
BIOL,219,18,50,1.5,1.6,1.25,1.4,3,1.4,1.2,1.25,1.35,1.21666666666667
BIOL,222,25.25,99.25,1.7,1.575,1.8,2.325,2.875,1.6,1.675,1.45,2,1.56944444444444
BIOL,227,22.25,111.75,2.075,1.9125,1.875,2.5,2.7125,1.8375,2.2625,1.8875,2.35,1.85555555555556
BIOL,228,32.6666666666667,148.166666666667,1.31666666666667,1.3,1.53333333333333,2.31666666666667,2.86666666666667,1.31666666666667,1.33333333333333,1.46666666666667,1.58333333333333,1.35185185185185
BIOL,236,11,49.3333333333333,1.2,1.13333333333333,1.13333333333333,1.4,2.9,1.13333333333333,1.2,1.16666666666667,1.13333333333333,1.05555555555556
BIOL,241,34.125,203.125,1.6875,1.6625,1.6,2.45,2.925,1.6375,1.95,1.6375,2.0125,1.62638888888889
BIOL,243,20.8333333333333,102.833333333333,1.6,1.86666666666667,1.83333333333333,2.66666666666667,2.83333333333333,1.51666666666667,1.61666666666667,1.4,1.91666666666667,1.60185185185185
BIOL,244,38,126.75,1.6875,1.5625,1.925,2.1875,2.625,1.725,2.4625,1.8,2.275,1.73611111111111
BIOL,252,32.2222222222222,127.555555555556,1.3,1.23333333333333,1.4,1.68888888888889,2.82222222222222,1.34444444444444,1.48888888888889,1.36666666666667,1.46666666666667,1.25432098765432
BIOL,253,4,23,2.65,2.85,3.5,2.5,2.5,3.25,3.25,2.4,3.4,2.64444444444444
BIOL,271,16.6666666666667,90.2222222222222,1.1,1.11111111111111,1.23333333333333,1.62222222222222,2.98888888888889,1.2,1.15555555555556,1.14444444444444,1.17777777777778,1.08271604938272
BIOL,325,21.2857142857143,100.285714285714,1.31428571428571,1.32857142857143,1.47142857142857,1.6,2.94285714285714,1.27142857142857,1.41428571428571,1.24285714285714,1.45714285714286,1.23333333333333
BIOL,327,13,69.8888888888889,1.63333333333333,1.65555555555556,1.67777777777778,2.33333333333333,2.92222222222222,1.58888888888889,1.94444444444444,1.51111111111111,1.97777777777778,1.59135802469136
BIOL,328,22,88,1.275,1.2875,1.3375,1.5,2.925,1.375,1.325,1.25,1.3625,1.19027777777778
BIOL,329,18.1428571428571,106.428571428571,1.28571428571429,1.25714285714286,1.35714285714286,1.91428571428571,3.02857142857143,1.41428571428571,1.61428571428571,1.41428571428571,1.52857142857143,1.30952380952381
BIOL,340,22,90.3333333333333,2.08888888888889,2.06666666666667,1.85555555555556,2.64444444444444,2.72222222222222,1.81111111111111,2.51111111111111,1.85555555555556,2.44444444444444,1.91975308641975
BIOL,370,10.6666666666667,29.3333333333333,1.31666666666667,1.13333333333333,1.21666666666667,1.15,2.93333333333333,1.16666666666667,1.2,1.08333333333333,1.15,1.0462962962963
BIOL,371,10.1111111111111,42.8888888888889,1.27777777777778,1.23333333333333,1.31111111111111,1.37777777777778,2.93333333333333,1.24444444444444,1.34444444444444,1.26666666666667,1.35555555555556,1.15679012345679
BIOL,372,12.375,58,1.425,1.7,1.425,1.725,2.8875,1.4125,1.5125,1.35,1.65,1.35555555555556
BMSC,116,30.6666666666667,112.5,1.46666666666667,1.4,1.55,2.31666666666667,2.93333333333333,1.48333333333333,1.56666666666667,1.48333333333333,1.63333333333333,1.43333333333333
BMSC,117,26,144.111111111111,1.2,1.27777777777778,1.41111111111111,2.28888888888889,2.74444444444444,1.27777777777778,1.22222222222222,1.24444444444444,1.36666666666667,1.25432098765432
BMSC,301,19.8571428571429,64,1.14285714285714,1.17142857142857,1.21428571428571,1.67142857142857,2.94285714285714,1.31428571428571,1.42857142857143,1.37142857142857,1.45714285714286,1.1968253968254
BMSC,334,20.2222222222222,84.7777777777778,1.57777777777778,1.51111111111111,1.55555555555556,2.07777777777778,2.38888888888889,1.53333333333333,1.77777777777778,1.47777777777778,2.02222222222222,1.5037037037037
BMSC,335,22.125,70.875,1.65,1.725,1.875,2.4375,2.6,1.6125,1.6375,1.5375,1.8875,1.59583333333333
BMSC,339,18.1666666666667,64.6666666666667,1.96666666666667,1.83333333333333,1.91666666666667,2.68333333333333,2.8,1.93333333333333,2.76666666666667,2.01666666666667,2.63333333333333,1.97222222222222
BMSC,343,15,57.6666666666667,1.5,1.5,1.5,2.3,2.8,1.43333333333333,1.5,1.2,1.5,1.38148148148148
BMSC,354,6.8,22.2,1.66,1.54,1.36,1.62,2.94,1.42,1.4,1.3,1.76,1.34
BTEC,101,15.375,56.125,1.1875,1.175,1.5125,1.7375,3.0375,1.3125,1.275,1.325,1.3375,1.20694444444444
BTEC,201,11.125,35.75,1.075,1.075,1.1625,1.3875,2.9125,1.2125,1.2,1.1625,1.125,1.04444444444444
BTEC,301,7.83333333333333,26.3333333333333,1.2,1.18333333333333,1.33333333333333,1.51666666666667,2.8,1.38333333333333,1.28333333333333,1.33333333333333,1.45,1.18703703703704
CCSP,401,17.5,32,1.6,1.35,1.325,2.15,2.95,1.225,1.25,1.275,1.725,1.32222222222222
CCSP,402,12,28.6666666666667,1.5,1.5,1.43333333333333,1.76666666666667,3.03333333333333,1.6,1.93333333333333,1.53333333333333,1.9,1.46296296296296
CCSP,403,7,12,1.4,1.2,1.6,1.9,3.1,1.6,1.4,1.2,1.8,1.34444444444444
CCSP,404,17.5,31,1.4,1.3,1.3,1.6,2.95,1.45,1.45,1.45,1.35,1.25555555555556
CCSP,405,7,18,1.15,1.05,1.2,1.5,2.75,1.25,1.35,1.2,1.55,1.13888888888889
CGRA,151,29.8571428571429,170.142857142857,1.74285714285714,1.72857142857143,1.75714285714286,2.02857142857143,2.92857142857143,1.9,2.27142857142857,1.95714285714286,2.31428571428571,1.74444444444444
CGRA,350,4.5,19.1666666666667,1.88333333333333,1.93333333333333,1.7,2.23333333333333,2.6,1.73333333333333,1.86666666666667,1.63333333333333,2.31666666666667,1.7
CGRA,352,4.25,17,1.425,1.35,1.25,1.9,2.725,1.175,1.525,1.425,1.65,1.3
CHEM,113,45.8571428571429,159,1.62857142857143,1.48571428571429,1.6,2.01428571428571,2.48571428571429,1.72857142857143,2.38571428571429,1.77142857142857,2.07142857142857,1.63174603174603
CHEM,121,31.5,149.5,1.7,1.45,1.65,2.65,2.75,1.8,1.95,1.6,1.9,1.63333333333333
CHEM,122,11.5,64.5,2.1,1.65,1.55,2.35,2.7,1.65,2.1,1.7,2.55,1.73888888888889
CHEM,191,13,44.6666666666667,1.43333333333333,1.23333333333333,1.33333333333333,2,2.8,1.66666666666667,1.93333333333333,1.33333333333333,1.73333333333333,1.40740740740741
CHEM,207,18,47,2.1,1.9,1.9,2.4,2.3,1.7,2,1.5,2.5,1.77777777777778
CHEM,208,11,62,2.4,2,1.6,2.8,2.9,1.5,2.3,1.4,2.7,1.85555555555556
CHEM,210,4,27,2,1.5,1.8,3.5,2.8,1.8,2,2,1.8,1.82222222222222
CHEM,307,8,35,2.5,2.5,1.8,2.1,2.2,1.7,2,1.2,2.5,1.81111111111111
CHEM,309,11,54,3.9,4.6,2.1,2.2,2.9,2.2,2.8,2.2,3.5,2.61111111111111
CHEM,310,2,15,3.5,3,1.5,3,2.5,2,2.5,3,3,2.38888888888889
CHIN,101,17.4285714285714,62.4285714285714,1.41428571428571,1.37142857142857,1.37142857142857,2.01428571428571,2.94285714285714,1.4,1.47142857142857,1.32857142857143,1.55714285714286,1.32539682539683
CHIN,102,9,34.75,1.2625,1.3375,1.275,1.6125,3.0125,1.35,1.325,1.2125,1.3625,1.19305555555556
CHIN,112,13,36,1.4,1.4,1.6,1.7,3,1.2,1.5,1.6,1.6,1.33333333333333
CHIN,201,10.5,29,1.8,2,1.7,2.4,2.9,1.55,1.9,1.45,1.9,1.63333333333333
CHIN,202,11,26,1.3,1.3,1.3,1.6,2.9,1.3,1.2,1.2,1.2,1.15555555555556
CHIN,213,4.83333333333333,21.8333333333333,1.31666666666667,1.21666666666667,1.55,1.25,2.51666666666667,1.28333333333333,1.35,1.68333333333333,1.5,1.23888888888889
CHIN,301,8.5,18,1.45,1.6,1.6,1.75,2.95,1.55,2.25,1.7,2,1.54444444444444
CHIN,302,5,11,1,1,1.1,1.1,2.9,1.1,1.1,1.1,1.1,0.955555555555555
CHIN,314,5,12.3333333333333,1.26666666666667,1.1,1.1,1.1,2.9,1.26666666666667,1.2,1.1,1.1,1.02592592592593
CLAS,106,30.25,151.5,1.325,1.5,1.375,1.65,2.925,1.375,1.4,1.375,1.325,1.25833333333333
CLAS,111,42.6,156.4,1.3,1.34,1.52,1.6,2.82,1.46,1.48,1.62,1.46,1.30888888888889
CLAS,205,27,74.5,1.3,1.9,1.3,1.8,2.95,1.15,1.15,1.25,1.5,1.26111111111111
CLAS,206,18,55,1.1,1.1,1.1,1.3,3,1.1,1.1,1.1,1,0.988888888888889
CLAS,207,35,112,1.1,1.2,1.2,1.5,2.9,1.1,1.1,1.1,1.2,1.05555555555556
CLAS,208,20.5,78,1.25,1.35,1.55,2,2.95,1.45,1.6,1.5,1.4,1.34444444444444
CLAS,211,16,69,1.325,1.225,1.45,1.55,2.85,1.525,1.625,1.625,1.85,1.35277777777778
CLAS,303,8,29,1.2,1,1.2,1.8,2.9,1.2,1.3,1.2,1.2,1.12222222222222
CLAS,305,13,42,1.2,1.3,1.2,1.2,3,1.2,1.1,1.2,1,1.04444444444444
CLAS,306,10,44,1.3,1.3,1.1,1.7,3,1.1,1.5,1.3,1.3,1.17777777777778
CLAS,307,15,46,1.4,1.6,1.8,2.9,3,1.2,1.1,1.3,1.1,1.37777777777778
CLAS,308,7.5,26,1.25,1.55,1.5,1.6,2.65,1.45,1.65,1.45,1.7,1.35
CLAS,310,12,49,1.05,1.15,1.1,1.35,2.9,1.1,1.2,1.35,1.2,1.05555555555556
CLAS,311,10.5,35,1.5,1.15,1.5,1.75,2.9,1.9,1.75,1.55,1.6,1.41111111111111
CLAS,312,15.2,49.8,1.1,1.16,1.34,1.3,3,1.32,1.36,1.4,1.28,1.14
CLAS,320,8,12,1.7,1.95,1.15,1.55,3,1.05,1.05,1.05,1.45,1.21666666666667
CMPO,101,11.625,53.75,1.425,1.4375,1.5125,1.8125,2.875,1.4875,1.5125,1.3875,1.675,1.36111111111111
CMPO,130,11.2857142857143,29.5714285714286,1.44285714285714,1.47142857142857,1.22857142857143,1.61428571428571,2.91428571428571,1.22857142857143,1.3,1.2,1.47142857142857,1.21746031746032
CMPO,185,12.875,45.875,1.1375,1.1875,1.2375,1.625,2.9875,1.35,1.5375,1.6,1.3125,1.22083333333333
CMPO,186,27.125,79.125,1.2375,1.2125,1.3125,1.6625,2.975,1.3625,1.3875,1.3,1.4,1.20833333333333
CMPO,201,6.5,17.25,1.775,1.525,1.4,1.675,2.725,1.45,1.35,1.3,1.65,1.34722222222222
CMPO,202,3,10,1.3,1,1.3,1,3.3,1,1,1,1,0.955555555555555
CMPO,210,7.375,22.75,1.6375,1.55,1.3,1.7875,2.9125,1.5,1.525,1.5,1.7875,1.39861111111111
CMPO,232,6.66666666666667,21,1.2,1.23333333333333,1.13333333333333,1.06666666666667,2.9,1.23333333333333,1.3,1.13333333333333,1.06666666666667,1.04074074074074
CMPO,285,7.28571428571429,18.2857142857143,1.18571428571429,1.15714285714286,1.18571428571429,1.21428571428571,2.98571428571429,1.3,1.65714285714286,1.52857142857143,1.31428571428571,1.17142857142857
CMPO,286,8.25,30,1.625,1.5,1.5,1.7,2.9,1.375,1.625,1.375,1.85,1.39444444444444
CMPO,301,4.66666666666667,12.4444444444444,1.22222222222222,1.14444444444444,1.25555555555556,1.24444444444444,2.84444444444444,1.3,1.54444444444444,1.24444444444444,1.48888888888889,1.16049382716049
CMPO,305,7.2,14.4,1.44,1.62,1.38,1.66,3.04,1.48,1.4,1.36,1.78,1.34666666666667
CMPO,306,14,19,1,1,1,1.1,2.7,1,1.3,1.1,1,0.944444444444444
CMPO,310,5.42857142857143,13.4285714285714,1.4,1.17142857142857,1.22857142857143,1.32857142857143,2.95714285714286,1.32857142857143,1.24285714285714,1.2,1.32857142857143,1.13650793650794
CMPO,332,5,17,1.65,1.5,1.05,1.65,2.85,1.05,1.2,1.15,2.15,1.26666666666667
CMPO,385,3.2,10.4,1.52,1.32,1.36,2.04,2.9,1.56,1.88,1.48,1.78,1.43777777777778
CMPO,386,5.8,12.6,1.58,1.58,1.14,1.12,2.86,1.08,1.12,1.1,1.66,1.15333333333333
COGS,101,18,98,1.4,1.5,1.4,2.2,2.5,1.5,1.4,1.3,1.4,1.34444444444444
COMD,201,18.75,54,2.475,3.025,2.075,2.5,2.975,2.1,2.575,1.95,2.875,2.175
COMD,211,17.3333333333333,53.3333333333333,1.56666666666667,1.83333333333333,1.33333333333333,1.33333333333333,2.93333333333333,1.46666666666667,1.43333333333333,1.5,1.83333333333333,1.36666666666667
COMD,231,37.75,108.25,1.35,1.375,1.4,1.5,3,1.5,1.35,1.475,1.5,1.27222222222222
COMD,241,23.6,87.2,1.3,1.26,1.3,1.4,2.92,1.46,1.34,1.36,1.42,1.20444444444444
COMD,251,14,48,3.6,3.3,2.2,2.5,3,2.5,2.7,2.2,3.5,2.5
COMD,261,16.25,56.25,1.175,1.275,1.15,1.2,2.925,1.225,1.25,1.225,1.2,1.07777777777778
COMD,302,13,49.5,1.3,1.2,1.3,1.35,3,1.4,1.5,1.55,1.5,1.23333333333333
COMD,335,19.75,60,1.1,1.1,1.175,1.2,3,1.2,1.25,1.225,1.175,1.04722222222222
COMD,342,8,49,1.55,1.95,1.65,1.8,2.95,1.45,2.1,1.65,1.8,1.55
COMD,351,18,50,1.8,1.66666666666667,1.9,2.03333333333333,2.9,1.93333333333333,2.73333333333333,2.03333333333333,2.53333333333333,1.84814814814815
COMD,390,16.3333333333333,50,1.7,1.5,1.63333333333333,1.5,2.96666666666667,1.56666666666667,1.56666666666667,1.33333333333333,1.96666666666667,1.41851851851852
COML,111,7,43.5,1.05,1.05,1.1,1.2,2.85,1.15,1.15,1.1,1.15,0.994444444444445
COML,203,61.5714285714286,231.714285714286,1.22857142857143,1.24285714285714,1.42857142857143,1.88571428571429,2.92857142857143,1.4,1.51428571428571,1.38571428571429,1.42857142857143,1.27936507936508
COML,204,42.6666666666667,244,1.66666666666667,1.46666666666667,1.5,2.23333333333333,2.93333333333333,1.53333333333333,2.16666666666667,1.53333333333333,1.93333333333333,1.55925925925926
COML,205,12,79.25,1.275,1.3,1.6,2.175,2.975,1.45,1.575,1.4,1.525,1.36666666666667
COML,302,23.6,87.8,1.06,1.08,1.14,1.64,2.98,1.22,1.24,1.1,1.18,1.07333333333333
COML,306,16,81,1.46666666666667,1.36666666666667,1.76666666666667,2.53333333333333,3,1.76666666666667,2.06666666666667,1.63333333333333,1.9,1.61111111111111
COML,307,6,86,1.1,1.3,1.3,3,3,1.5,1.3,1.5,1,1.33333333333333
COML,308,20,70.6666666666667,1.2,1.18333333333333,1.35,1.75,2.95,1.38333333333333,1.38333333333333,1.38333333333333,1.33333333333333,1.21851851851852
COML,309,11,47.75,1.675,1.65,2.325,2.725,2.925,1.9,2.75,2.075,2.3,1.93333333333333
COML,310,40.5,199,1.325,1.25,1.4,2.1,3,1.4,1.725,1.425,1.5,1.34722222222222
COML,312,11,49.5,1.3,1.35,1.45,2.5,3,1.55,2,1.55,1.9,1.51111111111111
COMP,102,74.8888888888889,352.666666666667,1.45555555555556,1.4,1.35555555555556,1.95555555555556,2.66666666666667,1.57777777777778,1.86666666666667,1.55555555555556,1.81111111111111,1.44197530864198
COMP,103,60.25,294,1.7,1.55,1.3,2.2,2.875,1.55,1.825,1.475,1.925,1.50277777777778
COMP,112,28.5714285714286,103.714285714286,1.81428571428571,1.7,1.4,2.18571428571429,2.67142857142857,1.67142857142857,1.72857142857143,1.54285714285714,1.98571428571429,1.55873015873016
COMP,132,35,165.2,1.96,1.68,1.52,2.38,2.74,1.86,2.36,1.82,2.4,1.77555555555556
COMP,261,48.125,263.75,1.8875,1.6,1.5,1.9875,2.65,1.75,2.1125,1.6125,2.1625,1.62361111111111
COMP,304,5,52,2.05,1.55,1.25,1.9,2.95,1.75,2.15,2,2.4,1.67222222222222
COMP,312,4.66666666666667,14.5,2.55,1.88333333333333,2.13333333333333,2.46666666666667,2,2.13333333333333,2.86666666666667,2.61666666666667,3.06666666666667,2.19074074074074
COMP,361,10,44.5714285714286,2.02857142857143,1.67142857142857,1.64285714285714,2.47142857142857,2.65714285714286,2.08571428571429,2.51428571428571,2.12857142857143,2.35714285714286,1.87777777777778
COMP,420,10,23,1.1,1.1,1.3,1.8,2.7,1.5,1.7,1.3,1.3,1.23333333333333
COMS,101,37.6,268,1.66,1.68,1.88,1.82,2.68,1.8,2.2,1.8,2.14,1.66444444444444
COMS,201,11.5,102.5,1.7,1.6,1.75,2.3,2.95,2.25,3,1.95,2.45,1.88888888888889
